dry_run,section,title,url,page_type,action
False,topic_replacement,How Women Are Shaping Technology and Data Governance,https://www.cigionline.org/articles/how-women-are-shaping-technology-and-data-governance/,ArticlePage,add latter and remove former
False,topic_replacement,"In Iran, Women Deploy Social Media in the Fight for Rights",https://www.cigionline.org/articles/in-iran-women-deploy-social-media-in-the-fight-for-rights/,ArticlePage,add latter and remove former
False,topic_replacement,"In Saudi Arabia, Digital Repression Has a Uniquely Gendered Aspect",https://www.cigionline.org/articles/in-saudi-arabia-digital-repression-has-a-uniquely-gendered-aspect/,ArticlePage,add latter and remove former
False,topic_replacement,"In the Wake of the Waterloo Attack, Universities Must Take Incitement to Violence More Seriously",https://www.cigionline.org/articles/in-the-wake-of-the-waterloo-attack-universities-must-take-incitement-to-violence-more-seriously/,ArticlePage,add latter and remove former
False,topic_replacement,"In Tunisia, a Legal Patchwork Is Failing Women Online",https://www.cigionline.org/articles/tunisia-legal-patchwork-failing-women-online/,ArticlePage,remove former only
False,topic_replacement,International Trade Is at Risk of Leaving Women Behind,https://www.cigionline.org/articles/international-trade-risk-leaving-women-behind/,ArticlePage,add latter and remove former
False,topic_replacement,Internet Crime Transcends Borders: So Must the Fight Against It,https://www.cigionline.org/articles/internet-crime-transcends-borders-so-must-the-fight-against-it/,ArticlePage,add latter and remove former
False,topic_replacement,"IWD 2019: Know Better, Do Better",https://www.cigionline.org/events/iwd-2019-know-better-do-better/,EventPage,add latter and remove former
False,topic_replacement,"IWD 2020: Know Better, Do Better",https://www.cigionline.org/events/iwd-2020-know-better-do-better/,EventPage,add latter and remove former
False,topic_replacement,Legal Issues For Women In Iraq And How Poor Internet Connection Produces Inequality,https://www.cigionline.org/articles/legal-issues-women-iraq-and-how-poor-internet-connection-produces-inequality/,ArticlePage,add latter and remove former
False,topic_replacement,Liberals' Hopes Stymied for Indigenous and Gender-rights Chapters in Renegotiated NAFTA,https://www.cigionline.org/articles/liberals-hopes-stymied-indigenous-and-gender-rights-chapters-renegotiated-nafta/,ArticlePage,add latter and remove former
False,topic_replacement,Looking to Regional Trade Agreements for Lessons on Gender Equality,https://www.cigionline.org/articles/looking-regional-trade-agreements-lessons-gender-equality/,ArticlePage,add latter and remove former
False,topic_replacement,Mainstreaming Gender in the Face of Pervasive Inequality ,https://www.cigionline.org/articles/mainstreaming-gender-face-pervasive-inequality/,ArticlePage,add latter and remove former
False,topic_replacement,Mainstreaming Gender in Trade Agreements,https://www.cigionline.org/mainstreaming-gender-trade-agreements/,ArticleSeriesPage,add latter and remove former
False,topic_replacement,Mainstreaming Gender in Trade Agreements,https://www.cigionline.org/publications/mainstreaming-gender-in-trade-agreements/,PublicationPage,add latter and remove former
False,topic_replacement,"Making Trade More Equitable: How a Progressive Trade Agenda could share the benefits of Trade Labour, Women and Indigenous Peoples",https://www.cigionline.org/events/making-trade-more-equitable-how-progressive-trade-agenda-could-share-benefits-trade-labour/,EventPage,add latter and remove former
False,topic_replacement,Moving from Principles to Progress on Women’s Economic Empowerment,https://www.cigionline.org/articles/moving-principles-progress-womens-economic-empowerment/,ArticlePage,add latter and remove former
False,topic_replacement,Non-binary TikTokers in Latin America: Sharing Debates and Circumventing Censorship,https://www.cigionline.org/publications/non-binary-tiktokers-in-latin-america-sharing-debates-and-circumventing-censorship/,PublicationPage,add latter and remove former
False,topic_replacement,"Non-Consensual Intimate Image Distribution: The Legal Landscape in Kenya, Chile and South Africa",https://www.cigionline.org/publications/non-consensual-intimate-image-distribution-the-legal-landscape-in-kenya-chile-and-south-africa/,PublicationPage,remove former only
False,topic_replacement,"On the Table: ""Coffee, Cookies and Women in Governance and Politics""",https://www.cigionline.org/events/table-coffee-cookies-and-women-governance-and-politics/,EventPage,add latter and remove former
False,topic_replacement,Online Gender-Based Violence in Brazil: New Data Insights,https://www.cigionline.org/publications/online-gender-based-violence-in-brazil-new-data-insights/,PublicationPage,add latter and remove former
False,topic_replacement,Online Gender-Based Violence Is Endemic: It Should Be Considered a Form of Terrorism,https://www.cigionline.org/articles/online-gender-based-violence-is-endemic-it-should-be-considered-a-form-of-terrorism/,ArticlePage,remove former only
False,topic_replacement,Online Safety Laws Are Nonsensical If Human Rights Are Watered Down,https://www.cigionline.org/articles/online-safety-laws-are-nonsensical-if-human-rights-are-watered-down/,ArticlePage,remove former only
False,topic_replacement,Platform Governance of Misogyny: Mainstream and Alternative Technology,https://www.cigionline.org/publications/platform-governance-of-misogyny-mainstream-and-alternative-technology/,PublicationPage,add latter and remove former
False,topic_replacement,Powering Change: Women in Innovation and Creativity,https://www.cigionline.org/events/powering-change-women-innovation-and-creativity/,EventPage,add latter and remove former
False,topic_replacement,Reshaping Trade through Women's Economic Empowerment,https://www.cigionline.org/events/reshaping-trade-through-womens-economic-empowerment/,EventPage,add latter and remove former
False,topic_replacement,Reshaping Trade through Women’s Economic Empowerment,https://www.cigionline.org/publications/reshaping-trade-through-womens-economic-empowerment/,PublicationPage,add latter and remove former
False,topic_replacement,Resource Extraction and the Human Rights of Women and Girls,https://www.cigionline.org/events/resource-extraction-and-human-rights-women-and-girls/,EventPage,remove former only
False,topic_replacement,Responding to Non-Consensual Intimate Image Distribution,https://www.cigionline.org/events/responding-non-consensual-intimate-image-distribution/,EventPage,remove former only
False,topic_replacement,Responding to Non-Consensual Intimate Image Distribution,https://www.cigionline.org/multimedia/responding-to-non-consensual-intimate-image-distribution/,MultimediaPage,remove former only
False,topic_replacement,Revisiting Women's Economic Empowerment,https://www.cigionline.org/articles/revisiting-womens-economic-empowerment/,ArticlePage,add latter and remove former
False,topic_replacement,RightsCon 2025 Workshop: Figures for Social Change: How to Use Quantitative Survey Data in Intersectional Advocacy on TFGBV,https://www.cigionline.org/events/rightscon-2025-workshop-figures-for-social-change-how-to-use-quantitative-survey-data-in-intersectional-advocacy-on-technology-facilitated-gender-based-violence-tfgbv/,EventPage,add latter and remove former
False,topic_replacement,RightsCon Cancelled: Geopolitical Competition Shrinks Space for Human Rights,https://www.cigionline.org/articles/rightscon-cancelled-geopolitical-competition-shrinks-space-for-human-rights/,ArticlePage,remove former only
False,topic_replacement,Saudi Arabia: Women's Rights Activists Charged,https://www.cigionline.org/articles/saudi-arabia-womens-rights-activists-charged/,ArticlePage,add latter and remove former
False,topic_replacement,Support for Gender-responsive Trade Policies at WTO Ministerial Conference,https://www.cigionline.org/articles/support-gender-responsive-trade-policies-wto-ministerial-conference/,ArticlePage,add latter and remove former
False,topic_replacement,Supporting a Safer Internet,https://www.cigionline.org/publications/publication-series/supporting-safer-internet/,PublicationSeriesPage,add latter and remove former
False,topic_replacement,Supporting Safer Digital Spaces,https://www.cigionline.org/programs/supporting-safer-digital-spaces/,ProjectPage,add latter and remove former
False,topic_replacement,Supporting Safer Digital Spaces,https://www.cigionline.org/publications/supporting-safer-digital-spaces/,PublicationPage,add latter and remove former
False,topic_replacement,Supporting Safer Digital Spaces — Introducing CIGI’s Special Report,https://www.cigionline.org/multimedia/supporting-safer-digital-spaces-introducing-cigis-special-report/,MultimediaPage,add latter and remove former
False,topic_replacement,Supporting Safer Digital Spaces: Highlights,https://www.cigionline.org/publications/supporting-safer-digital-spaces-highlights/,PublicationPage,add latter and remove former
False,topic_replacement,Supporting Safer Digital Spaces: International Research Launch,https://www.cigionline.org/events/supporting-safer-digital-spaces-international-research-launch/,EventPage,add latter and remove former
False,topic_replacement,Supporting Safer Digital Spaces: MENA Region Highlights,https://www.cigionline.org/publications/supporting-safer-digital-spaces-mena-region-highlights/,PublicationPage,add latter and remove former
False,topic_replacement,Supporting Safer Digital Spaces: Phase 2 Research Preview,https://www.cigionline.org/publications/supporting-safer-digital-spaces-phase-2-research-preview/,PublicationPage,add latter and remove former
False,topic_replacement,"Tech-facilitated gender-based violence is an international, human rights concern, finds new research",https://www.cigionline.org/articles/tech-facilitated-gender-based-violence-is-an-international-human-rights-concern-finds-new-research/,ArticlePage,add latter and remove former
False,topic_replacement,Technology-Facilitated Gender-Based Violence: An Overview,https://www.cigionline.org/publications/technology-facilitated-gender-based-violence-overview/,PublicationPage,add latter and remove former
False,topic_replacement,"Technology, Bodies and Emotions: Researching Gendered Gig Work",https://www.cigionline.org/publications/technology-bodies-and-emotions-researching-gendered-gig-work/,PublicationPage,add latter and remove former
False,topic_replacement,"Technology, Gender-Based Violence and the Shadow Pandemic",https://www.cigionline.org/articles/technology-gender-based-violence-and-shadow-pandemic/,ArticlePage,add latter and remove former
False,topic_replacement,The Case for Developing a Model Chapter on Gender and Trade,https://www.cigionline.org/articles/case-developing-model-chapter-gender-and-trade/,ArticlePage,add latter and remove former
False,topic_replacement,"The Cost of Transgression: Gender, Sexuality and Online Violence in India",https://www.cigionline.org/publications/the-cost-of-transgression-gender-sexuality-and-online-violence-in-india/,PublicationPage,add latter and remove former
False,topic_replacement,The Creation of the International Criminal Court: Gender as a Case Study,https://www.cigionline.org/multimedia/creation-international-criminal-court-gender-case-study/,MultimediaPage,add latter and remove former
False,topic_replacement,The Dialogue Around Digital Security Must Account for Gendered Risks,https://www.cigionline.org/articles/the-dialogue-around-digital-security-must-account-for-gendered-risks/,ArticlePage,add latter and remove former
False,topic_replacement,"The Grok Scandal Forces Reckoning on AI, Consent and Gendered Harms",https://www.cigionline.org/articles/the-grok-scandal-forces-reckoning-on-ai-consent-and-gendered-harms/,ArticlePage,add latter and remove former
False,topic_replacement,The Importance (and Complexity) of Mainstreaming Gender in Trade Agreements ,https://www.cigionline.org/articles/importance-and-complexity-mainstreaming-gender-trade-agreements/,ArticlePage,add latter and remove former
False,topic_replacement,The Importance of Women’s Economic Empowerment in World Trade,https://www.cigionline.org/multimedia/importance-womens-economic-empowerment-world-trade/,MultimediaPage,add latter and remove former
False,topic_replacement,The Military’s Crisis of Analytics: Modernizing Misconduct Data,https://www.cigionline.org/publications/the-militarys-crisis-of-analytics-modernizing-misconduct-data/,PublicationPage,add latter and remove former
False,topic_replacement,The SDGs and Gender: The Case of Indigenous and Local Women’s Traditional Knowledge,https://www.cigionline.org/publications/sdgs-and-gender-case-indigenous-and-local-womens-traditional-knowledge/,PublicationPage,add latter and remove former
False,topic_replacement,The Unsung Women Facilitating Global Trade,https://www.cigionline.org/articles/unsung-women-facilitating-global-trade/,ArticlePage,add latter and remove former
False,topic_replacement,The US Federal Reserve Is a Boys' Club Again,https://www.cigionline.org/articles/us-federal-reserve-boys-club-again/,ArticlePage,add latter and remove former
False,topic_replacement,The World of Online Gaming Is “Uniquely Uncivil” for Women and People of Colour,https://www.cigionline.org/articles/the-world-of-online-gaming-is-uniquely-uncivil-for-women-and-people-of-colour/,ArticlePage,add latter and remove former
False,topic_replacement,"To Eliminate Violence Against Women, We Must Take the Fight to Online Spaces",https://www.cigionline.org/articles/to-eliminate-violence-against-women-we-must-take-the-fight-to-online-spaces/,ArticlePage,add latter and remove former
False,topic_replacement,Toward a “Win-win” for Gender Equality and Trade,https://www.cigionline.org/articles/toward-win-win-gender-equality-and-trade/,ArticlePage,add latter and remove former
False,topic_replacement,Trade Equality: Women’s Economic Empowerment,https://www.cigionline.org/multimedia/trade-equality-womens-economic-empowerment/,MultimediaPage,add latter and remove former
False,topic_replacement,"Trade's Impact on Women is Multi-faceted; Trade Policy Should Be, Too",https://www.cigionline.org/articles/trades-impact-women-multi-faceted-trade-policy-should-be-too/,ArticlePage,add latter and remove former
False,topic_replacement,Transparency as a First Step for Tomorrow’s Investment Treaties,https://www.cigionline.org/articles/transparency-first-step-tomorrows-investment-treaties/,ArticlePage,add latter and remove former
False,topic_replacement,Trudeau's G7 Gender Equality Push Gains Traction,https://www.cigionline.org/articles/trudeaus-g7-gender-equality-push-gains-traction/,ArticlePage,add latter and remove former
False,topic_replacement,Turning the Promise of the AfCFTA into Lasting Progress for Women in Africa,https://www.cigionline.org/articles/turning-promise-afcfta-lasting-progress-women-africa/,ArticlePage,add latter and remove former
False,topic_replacement,Underserved or Oversurveilled: Can We Strike a Balance When Regulating Tech?,https://www.cigionline.org/articles/underserved-or-oversurveilled-can-we-strike-balance-when-regulating-tech/,ArticlePage,add latter and remove former
False,topic_replacement,What Can We Do to Combat Online Gender-Based Violence?,https://www.cigionline.org/articles/what-can-we-do-to-combat-online-gender-based-violence/,ArticlePage,add latter and remove former
False,topic_replacement,What Is Online Gender-Based Violence?,https://www.cigionline.org/multimedia/what-is-online-gender-based-violence/,MultimediaPage,add latter and remove former
False,topic_replacement,What Is Technology-Facilitated Violence?,https://www.cigionline.org/multimedia/what-is-technology-facilitated-violence/,MultimediaPage,add latter and remove former
False,topic_replacement,"When Domestic Law Fails Women, Treaties Are a Tool",https://www.cigionline.org/articles/when-domestic-law-fails-women-treaties-are-tool/,ArticlePage,add latter and remove former
False,topic_replacement,"When It Comes to Gender Analysis, Modern Trade Agreements Are Lacking",https://www.cigionline.org/articles/when-it-comes-gender-analysis-modern-trade-agreements-are-lacking/,ArticlePage,add latter and remove former
False,topic_replacement,"When She Trades, We All Benefit",https://www.cigionline.org/articles/when-she-trades-we-all-benefit/,ArticlePage,add latter and remove former
False,topic_replacement,"When the Broligarchy Comes to Meta, the Most Vulnerable People Are Threatened",https://www.cigionline.org/articles/when-the-broligarchy-comes-to-meta-the-most-vulnerable-people-are-threatened/,ArticlePage,remove former only
False,topic_replacement,"When Women Are Silenced Online, Democracy Suffers",https://www.cigionline.org/articles/when-women-are-silenced-online-democracy-suffers/,ArticlePage,add latter and remove former
False,topic_replacement,Why Negotiators Should Take a Whole Agreement Approach to Mainstreaming Gender in Trade Agreements,https://www.cigionline.org/articles/why-negotiators-should-take-whole-agreement-approach-mainstreaming-gender-trade-agreements/,ArticlePage,add latter and remove former
False,topic_replacement,Why Women Over 40 Are Having More Babies,https://www.cigionline.org/articles/why-women-over-40-are-having-more-babies/,ArticlePage,add latter and remove former
False,topic_replacement,Will CPTPP Offer Tangible Improvements for Women?,https://www.cigionline.org/articles/will-cptpp-offer-tangible-improvements-women/,ArticlePage,add latter and remove former
False,topic_replacement,Will the Gendered Aspects of Canada's Colonial Project Be Addressed? ,https://www.cigionline.org/articles/will-gendered-aspects-canadas-colonial-project-be-addressed/,ArticlePage,add latter and remove former
False,topic_replacement,"Women and Trade at the WTO: Pink Herring, Trojan Horse or Historic Advance?",https://www.cigionline.org/articles/women-and-trade-wto-pink-herring-trojan-horse-or-historic-advance/,ArticlePage,add latter and remove former
False,topic_replacement,Women Politicians in Southeast Asia Face an Epidemic of Online Violence,https://www.cigionline.org/articles/women-politicians-in-southeast-asia-face-an-epidemic-of-online-violence/,ArticlePage,add latter and remove former
False,topic_replacement,Women Support Trade in the United Kingdom,https://www.cigionline.org/articles/women-support-trade-united-kingdom/,ArticlePage,add latter and remove former
False,topic_replacement,"Women, Not Politicians, Are Targeted Most Often by Deepfake Videos",https://www.cigionline.org/articles/women-not-politicians-are-targeted-most-often-deepfake-videos/,ArticlePage,add latter and remove former
False,topic_replacement,Worried Internet Rules Will Curb Expression? Online Hate Is Doing That Now,https://www.cigionline.org/articles/worried-internet-rules-will-curb-expression-online-hate-is-doing-that-now/,ArticlePage,add latter and remove former
False,topic_replacement,"AI’s Global South Pivot: Equity, Ethics and Ecology",https://www.cigionline.org/publications/ais-global-south-pivot-equity-ethics-and-ecology/,PublicationPage,remove former only
False,topic_replacement,Applying a Tech Lens to the Right to Information: Part 1,https://www.cigionline.org/publications/applying-a-tech-lens-to-the-right-to-information-part-1/,PublicationPage,add latter and remove former
False,topic_replacement,Applying a Tech Lens to the Right to Information: Part 2,https://www.cigionline.org/publications/applying-a-tech-lens-to-the-right-to-information-part-2/,PublicationPage,add latter and remove former
False,topic_replacement,Building a Data Wealth Fund,https://www.cigionline.org/articles/building-a-data-wealth-fund/,ArticlePage,add latter and remove former
False,topic_replacement,Can Free Thinking Survive the Onslaught of False Content?,https://www.cigionline.org/articles/can-free-thinking-survive-the-onslaught-of-false-content/,ArticlePage,add latter and remove former
False,topic_replacement,"Canada’s Bill C-63: Good Politics, (Mostly) Empty Policy",https://www.cigionline.org/articles/canadas-bill-c-63-good-politics-mostly-empty-policy/,ArticlePage,add latter and remove former
False,topic_replacement,"Canada’s Lawful Access Bill: Heavy on Secrecy, Light on Accountability",https://www.cigionline.org/articles/canadas-lawful-access-bill-heavy-on-secrecy-light-on-accountability/,ArticlePage,add latter and remove former
False,topic_replacement,Decoding Brain Data (the possibilities and pitfalls of neurotech with Jared Genser),https://www.cigionline.org/pp/decoding-brain-data-the-possibilities-and-pitfalls-of-neurotech-with-jared-genser/,MultimediaPage,add latter and remove former
False,topic_replacement,Democratic Accountability in Canada’s Proposed Lawful Access Regime,https://www.cigionline.org/publications/democratic-accountability-in-canadas-proposed-lawful-access-regime/,PublicationPage,remove former only
False,topic_replacement,Developing a Framework for Collective Data Rights,https://www.cigionline.org/publications/developing-a-framework-for-collective-data-rights/,PublicationPage,add latter and remove former
False,topic_replacement,Digital Inclusion: Policy Pathways for Public-Private Partnerships,https://www.cigionline.org/publications/digital-inclusion-policy-pathways-for-public-private-partnerships/,PublicationPage,add latter and remove former
False,topic_replacement,Digital Regulatory Networks and Evolving Internet Governance Spaces,https://www.cigionline.org/publications/digital-regulatory-networks-and-evolving-internet-governance-spaces/,PublicationPage,remove former only
False,topic_replacement,Digital Violence Is Silencing Women. Here Is How We Must Stop It,https://www.cigionline.org/articles/digital-violence-is-silencing-women-here-is-how-we-must-stop-it/,ArticlePage,add latter and remove former
False,topic_replacement,Gig Economies Living Lab: Bridging Global Divides in Research,https://www.cigionline.org/publications/gig-economies-living-lab-bridging-global-divides-in-research/,PublicationPage,remove former only
False,topic_replacement,Google’s Move to Retain Cookies Puts the Onus on Regulators,https://www.cigionline.org/articles/googles-move-to-retain-cookies-puts-the-onus-on-regulators/,ArticlePage,add latter and remove former
False,topic_replacement,Harmonization of Data Governance Frameworks in Africa,https://www.cigionline.org/publications/harmonization-of-data-governance-frameworks-in-africa/,PublicationPage,add latter and remove former
False,topic_replacement,Has the US Supreme Court Made It Harder to Regulate Social Media — or the Opposite?,https://www.cigionline.org/articles/has-the-us-supreme-court-made-it-harder-to-regulate-social-media-or-the-opposite/,ArticlePage,add latter and remove former
False,topic_replacement,"In Our Computational World, What Do We Know? (seeing the many worlds with Michael Richardson)",https://www.cigionline.org/pp/in-our-computational-world-what-do-we-know-seeing-the-many-worlds-with-michael-richardson/,MultimediaPage,add latter and remove former
False,topic_replacement,RightsCon Cancelled: Geopolitical Competition Shrinks Space for Human Rights,https://www.cigionline.org/articles/rightscon-cancelled-geopolitical-competition-shrinks-space-for-human-rights/,ArticlePage,add latter and remove former
False,topic_replacement,Seizing the Watershed Moment: Africa’s AI Strategy,https://www.cigionline.org/publications/seizing-the-watershed-moment-africas-ai-strategy/,PublicationPage,add latter and remove former
